NOMBRE_ARCHIVO;NUMERO_FACTURA;NIT_ADQUIRIENTE;RAZON_SOCIAL_ADQUIRIENTE;DIRECCION_ADQUIRIENTE;CORREO_ADQUIRIENTE;TELEFONO_ADQUIRIENTE;CIUDAD_MUNICIPIO_ADQUIRIENTE;NUMERO_AUTORIZACION_ELECTRONICA;CODIGO_QR;CODIGO_CUFE;VALOR_TOTAL;IVA_TOTAL;FECHA_GENERACION;NIT_EMISOR;RAZON_SOCIAL_EMISOR
layout_01_001;TTO 318331;1.090.122.554-2;SERGIO JOSE MEDINA ROMERO;CR 71 CL 58 - 4;;3215636771;Barranquilla - Colombia;18764077322105;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=15a993caf8e8388a389ee5dd22b23bac43c76c0f591e44d421fb50ad70b696bee529939c0ce7f02f92f7fa0e5301bbf3;15a993caf8e8388a389ee5dd22b23bac43c76c0f591e44d421fb50ad70b696bee529939c0ce7f02f92f7fa0e5301bbf3;8,000.00;;30/09/2024, 11:28;890102018-1;DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA
layout_01_002;TTO 361568;1.101.999.988-6;SARA LUISA LOZANO CORTES;AK 90 # 49 - 97;;3206598187;Maicao - Colombia;93909652587813;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=95292db9402e77a495d3c0d84557f1edae6b56e3be927258b0a884c52c283f95c892162d8a9cd18fce822a00a30ba8f7;95292db9402e77a495d3c0d84557f1edae6b56e3be927258b0a884c52c283f95c892162d8a9cd18fce822a00a30ba8f7;2,337,000.00;;24/04/2025, 11:31;890102018-1;DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA
layout_01_003;TTO 369960;1.031.587.673-1;MILENA NUBIA RAMOS ACOSTA;AC 93 # 72 - 89;;3190393462;Bogota - Colombia;08607165499270;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=24f3169b17484d2250ceda75c6a59985dcccf2adf2689729c07827adf708fb90e82f179f32bf2093996ca0d22149f9a1;24f3169b17484d2250ceda75c6a59985dcccf2adf2689729c07827adf708fb90e82f179f32bf2093996ca0d22149f9a1;27,800.00;;16/07/2024, 16:40;890102018-1;DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA
layout_01_004;TTO 439967;1.022.503.500-1;MONICA MARCELA HERRERA BENITEZ;AC 144 # 79 - 94;;3050711727;Villavicencio - Colombia;50622440421686;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=76117572f98de4d26618abbeee3814f4a007041303ea1a5a1081410c1954fded4bdb9c702954f3b13211da6990fb3a1c;76117572f98de4d26618abbeee3814f4a007041303ea1a5a1081410c1954fded4bdb9c702954f3b13211da6990fb3a1c;60,500.00;;20/02/2024, 10:56;890102018-1;DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA
layout_01_005;TTO 497815;1.154.175.192-7;NANCY LAURA ESPINOSA MONTOYA;CRA 160 # 65 - 8;;3059744458;Rionegro - Colombia;27773521670826;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=7e9f51317d29c0435991cb87e984f4912cccd2115bdc3a93be117212bada2fbef6e72d092e85f2eaa5a51654e66407ac;7e9f51317d29c0435991cb87e984f4912cccd2115bdc3a93be117212bada2fbef6e72d092e85f2eaa5a51654e66407ac;32,000.00;;16/11/2024, 08:42;890102018-1;DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA
layout_01_006;TTO 303089;1.173.039.539-6;ELIZABETH JULIANA MEJIA OVIEDO;CR 104 # 7 - 31;;3506131793;Monteria - Colombia;85686881933295;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=05c2dd6d0af05cad0beedaba2225f68c52dee3462735b7f8e394d44828118b7185651afa9350a26a7c0b2ea40b608366;05c2dd6d0af05cad0beedaba2225f68c52dee3462735b7f8e394d44828118b7185651afa9350a26a7c0b2ea40b608366;1,259,000.00;;03/03/2024, 07:27;890102018-1;DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA
layout_02_001;153826777;1246565535-2;JUAN ALVAREZ SILVA PEREZ;CL. 19 N. 6A-06;ING_JUANALVAREZ@HOTMAIL.COM;;BARRANQUILLA;18764085627360;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=0f08c83ecfabd974898c6c1756d571ed95bb8dc3693fbc20185a93866fcb24d82883209b26b784e1fa9f2ee2bef84763;0f08c83ecfabd974898c6c1756d571ed95bb8dc3693fbc20185a93866fcb24d82883209b26b784e1fa9f2ee2bef84763;90.000;;08 / 08 / 2025  01:49;890100531-8;EXPRESO BRASILIA S.A.
layout_02_002;074781569;1017868355-8;MILENA GLORIA PEREZ DELGADO;TV 140 # 9 - 53;ING_MILENAGLORIA@HOTMAIL.COM;;MONTERIA;57394896496616;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=5528062217a074aa9fa1df680ef8551abdd895a8569d096c44b56e4f49083993143bc36827a04fe0f4c84ac4240596c8;5528062217a074aa9fa1df680ef8551abdd895a8569d096c44b56e4f49083993143bc36827a04fe0f4c84ac4240596c8;22.700;;20 / 01 / 2024  15:29;890100531-8;EXPRESO BRASILIA S.A.
layout_02_003;564110055;1137246169-0;SANDRA MILENA FRANCO DUARTE;DG 76 # 55 - 51;ING_SANDRAMILENA@HOTMAIL.COM;;FUSAGASUGA;16288060225183;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=fc245b8fb16f5e6debe9e1f820808f3ff02027443c410b222aeebabeef3821d93d2ee6b6fa3c6b84124cf2576ea524a8;fc245b8fb16f5e6debe9e1f820808f3ff02027443c410b222aeebabeef3821d93d2ee6b6fa3c6b84124cf2576ea524a8;82.300;;04 / 02 / 2024  10:28;890100531-8;EXPRESO BRASILIA S.A.
layout_02_004;869265742;1025256664-1;RODRIGO MATEO CABRERA SUAREZ;AV 121 # 95 - 20;ING_RODRIGOMATEO@HOTMAIL.COM;;TURBO;54384926526953;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=8118fb84079c35b1fdf90373c0066a59495e87fa39c6aba16a5c32c59ae5d37ad7243cf091e44d6d2b045201e0376d04;8118fb84079c35b1fdf90373c0066a59495e87fa39c6aba16a5c32c59ae5d37ad7243cf091e44d6d2b045201e0376d04;923.000;;14 / 02 / 2024  17:20;890100531-8;EXPRESO BRASILIA S.A.
layout_02_005;743223728;1040762017-0;BEATRIZ ELIZABETH MORALES VALENCIA;CRA 136 # 110 - 97;ING_BEATRIZELIZABETH@HOTMAIL.COM;;YOPAL;30812468977850;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=b8be676eeecf75509b24908f8714d294d712bbc23553467b86fc5a2ae927c31ac63a2491587b2f2f4c19e4fd087e733f;b8be676eeecf75509b24908f8714d294d712bbc23553467b86fc5a2ae927c31ac63a2491587b2f2f4c19e4fd087e733f;43.000;;06 / 03 / 2024  12:42;890100531-8;EXPRESO BRASILIA S.A.
layout_02_006;407077517;1113765408-5;LEIDY NATALIA SUAREZ FUENTES;AC 5 # 44 - 42;ING_LEIDYNATALIA@HOTMAIL.COM;;APARTADO;57816731010119;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=e2c914dc7906aefe20fa69a476da495c6b0d265990b11ff2a570748aaed36e08e556c27ba0e1c4790a43ff19d1a29966;e2c914dc7906aefe20fa69a476da495c6b0d265990b11ff2a570748aaed36e08e556c27ba0e1c4790a43ff19d1a29966;75.200;;22 / 06 / 2024  18:51;890100531-8;EXPRESO BRASILIA S.A.
layout_03_001;1284 12355;1228576535;JUAN ALVAREZ PRIETO RIVERA;CR 84 12 45;;3125864371;;18764099820842;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=74d10dda1316a38ffee83909cdf1aa0ab3b18ad0f29d0e0eb4cf5aa69b3bda5fdbc597058e40d824858a7382770ce200;74d10dda1316a38ffee83909cdf1aa0ab3b18ad0f29d0e0eb4cf5aa69b3bda5fdbc597058e40d824858a7382770ce200;13,261.00;;08-03-2026;800149384-6;CLINICA COLSANITAS S A
layout_03_002;2974 27936;0083903950;ANDRES ARTURO SALAZAR SUAREZ;CRA 109 # 9 - 25;;3114008579;;67547868729084;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=aed6047343a9b269497c40b8346a5bde22fabc363ab0e97f8072b2db53b7fdd4b93b4bd5cebcc915ad5cbc890f355db1;aed6047343a9b269497c40b8346a5bde22fabc363ab0e97f8072b2db53b7fdd4b93b4bd5cebcc915ad5cbc890f355db1;17,795.00;;21-10-2024;800149384-6;CLINICA COLSANITAS S A
layout_03_003;3929 30915;3724524749;OSCAR MARTIN GUZMAN VARGAS;AC 86 # 23 - 40;;3103279537;;84860208775677;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=048c0c7453fa25285de0197f7a45cae1c5c6dc6e2004f7018c4dcac987113d73e0441ee7db70c2c1aeaae4df2c9908d8;048c0c7453fa25285de0197f7a45cae1c5c6dc6e2004f7018c4dcac987113d73e0441ee7db70c2c1aeaae4df2c9908d8;16,678.00;;28-12-2024;800149384-6;CLINICA COLSANITAS S A
layout_03_004;6552 58768;0049514181;DIANA MONICA ROMERO MONTOYA;CL 138 # 6 - 26;;3187248717;;13017331402839;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=a393c6b0e0f3dd8b6b370796539da74a77ad754ac57141e69e9691536b2cfda5a58206cb23cd1b80fc7bc4a117de43fc;a393c6b0e0f3dd8b6b370796539da74a77ad754ac57141e69e9691536b2cfda5a58206cb23cd1b80fc7bc4a117de43fc;10,538.00;;12-05-2024;800149384-6;CLINICA COLSANITAS S A
layout_03_005;4813 35298;4813878774;STEFANIA MONICA NAVARRO SALAZAR;DG 84 # 81 - 19;;3051384235;;46097665503716;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=6ac621349fdad89a1fa7b0060e7895a66df880b76126a91a0d46dc56c8a79fe54af6e9959183997a8c02c1fc7b4ee677;6ac621349fdad89a1fa7b0060e7895a66df880b76126a91a0d46dc56c8a79fe54af6e9959183997a8c02c1fc7b4ee677;12,602.00;;15-01-2024;800149384-6;CLINICA COLSANITAS S A
layout_03_006;4531 65535;5903792727;ENRIQUE MANUEL GRANADOS MORALES;AC 14 # 101 - 37;;3141498423;;40358403748157;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=24e1096cdab36eeddece4e79f43dc3633488ee6012eb66d178b420e1cfc518b33d3f620667967a327bd473673e5688ad;24e1096cdab36eeddece4e79f43dc3633488ee6012eb66d178b420e1cfc518b33d3f620667967a327bd473673e5688ad;10,872.00;;07-02-2024;800149384-6;CLINICA COLSANITAS S A
